CAI Type,Subcategory,Entity name,"NCES ID
(IPEDS or PSS school ID)",Entity number,CMS number,FRN,Location ID,Street address,City,State or territory,Zip code,Longitude,Latitude,Broadband Need,Broadband Availability
C,Senior Center,Grand Coulee Senior Center,,,,,,203 Main St,Grand Coulee,WA,99133,-124.6237547,48.36803784,,
C,Senior Center,Grandview Senior Center,,,,,,812 Wallace Way,Grandview,WA,98930,-119.923098,46.264677,,
C,Senior Center,Granite Falls Senior Center,,,,,,302 S Granite Avenue,Granite Falls,WA,98252,-122.7920591,47.04083412,,
C,Senior Center,Greenwood Senior Center,,,,,,525 N 85th ST,Seattle,WA,98103,-122.3510609,47.69035614,,
C,Senior Center,Greenwood Senior Center,,,,,,525 N 85th St,Seattle,WA,98103,-122.350933,47.690371,,
C,Senior Center,H.E. Gritman Senior Center,,,,,,118 W Main Ave,Ritzville,WA,99169,-122.3022896,47.48004564,,
C,Senior Center,Harman Center - Yakima Senior Center,,,,,,101 North 65th Ave,Yakima,WA,98908,-122.2028837,47.75641338,,
C,Senior Center,Highline Senior Center,,,,,,1210 SW 136th St,Seattle,WA,98166,-119.433689,48.9390765,,
C,Senior Center,Hillyard Senior Center,,,,,,4001 N Cook St,Spokane,WA,99207,-122.1745461,48.08038736,,
C,Senior Center,Hoquiam Senior Center,,,,,,703 Simpson Ave,Hoquiam,WA,98550,-123.884829,46.977983,,
C,Senior Center,Hospitality House,,,,,,216 S Washington Ave,Newport,WA,99156,-122.4973262,47.1764999,,
C,Senior Center,Hugo Pautler Senior Center,,,,,,549 5th St,Clarkston,WA,99403,-117.044119,46.419056,,
C,Senior Center,Hunters Senior Center (Columbia 49Ers),,,,,,4984 Hwy 25 S.,Hunters,WA,99137,-118.196818,48.117582,,
C,Senior Center,Ilwaco Senior Center,,,,,,152 First Avenue,Ilwaco,WA,98624,-119.5268464,48.41353797,,
C,Senior Center,International Drop-In Center,,,,,,7301 Beacon Ave S ,Seattle,WA,98108,-122.293474,47.536397,,
C,Senior Center,Ione Senior Center,,,,,,205 Houghton St,Ione,WA,99139,-122.6681222,45.64784631,,
C,Senior Center,Island Senior Resources (Bayview),,,,,,14594 SR 525,Langley,WA,98260,-122.3570916,47.23798544,,
C,Senior Center,Issaquah Valley Senior Ctr,,,,,,75 NE Creek Way,Issaquah,WA,98027,-122.034868,47.531226,,
C,Senior Center,Kelso Senior Center,,,,,,106 NW 8th Ave,Kelso,WA,98626,-117.4286356,47.67021264,,
C,Senior Center,Kennewick Senior Center,,,,,,500 S Auburn St,Kennewick,WA,99336,-119.119483,46.203975,,
C,Senior Center,Kent Senior Center,,,,,,600 E Smith Street,Kent,WA,98032,-122.226913,47.38306,,
C,Senior Center,Kettle Falls Senior Center,,,,,,605 Narcissus St,Kettle Falls,WA,99141,-118.054213,48.607857,,
C,Senior Center,Key Peninsula Community Services,,,,,,17015 9th Street Court Kp N,Lakebay,WA,98349,-122.767,47.26668,,
C,Senior Center,Key Peninsula Senior Society,,,,,,17015 9th St Ct KP N,Vaughn,WA,98349,-119.1173647,46.20761198,,
C,Senior Center,Kingston Sr Community Ctr,,,,,, 11212 Ne State Highway 104,Kingston,WA,98346,-122.9382243,46.49080563,,
C,Senior Center,Kirkland Senior Center,,,,,,352 Kirkland Ave,Kirkland,WA,98033,-119.2578508,47.10384808,,
C,Senior Center,Klahanie Senior Center,,,,,,33901 9th Ave S,Federal,WA,98003,-117.4239573,47.65655458,,
C,Senior Center,Korean Senior Center,,,,,,22800 56th Ave W,Mountlake Terrace,WA,98043,-119.1909257,46.20636778,,
C,Senior Center,Lake Stevens Senior Center,,,,,,2302 Soper Hill Rd,Lake Stevens,WA,98258,-122.3119199,47.66673429,,
C,Senior Center,Lakewood Sr Ctr - Cptc Campus,,,,,,9112 Lakewood Dr SW,Tacoma,WA,98499,-122.508972,47.173749,,
C,Senior Center,Leavenworth Senior Center,,,,,,423 Evans Street,Leavenworth,WA,98826,-120.662243,47.596865,,
C,Senior Center,Lighthouse Senior Center,,,,,,"5016 E ""A"" St",Tacoma,WA,98499,-122.431752,47.211138,,
C,Senior Center,Lind Senior Center,,,,,,117 N I St,Lind,WA,99341,-120.3331165,47.44241724,,
C,Senior Center,Longview Senior Center,,,,,,1111 Commerce Ave,Longview,WA,98632,-122.1644776,47.70268612,,
C,Senior Center,Lopez Senior Center,,,,,,4102 Fisherman Bay Rd,Lopez Island,WA,98261,-122.926142,48.499939,,
C,Senior Center,Lower Elwha Klallam Tribe,,,,,,2851 Lower Elwha Road,Port Angeles,WA,98363,-123.548512,48.144179,,
C,Senior Center,Luepke Senior Center,,,,,,1009 E McLoughlin Blvd.,Vancouver,WA,98663,-122.3213609,48.47319834,,
C,Senior Center,Lummi Senior Center,,,,,,2400 Lummi View Drive,Bellingham,WA,98226,-122.661503,48.72926,,
C,Senior Center,Lynden Community Center,,,,,,401 Grover St,Lynden,WA,98264,-122.45266,48.94373,,
C,Senior Center,Mabton Civic Center,,,,,,522 Main St.,Mabton,WA,98935,-119.997513,46.21209,,
C,Senior Center,Makah Senior Center,,,,,,341 Bayview Ave,Neah Bay,WA,98357,-117.4240635,47.66439242,,
C,Senior Center,Makah Senior Citizens Program,,,,,,341 Bayview Ave.,Neah Bay,WA,98357,-122.5510521,47.24659878,,
C,Senior Center,Mansfield Pioneer Club,,,,,,26th Main St,Mansfield,WA,98830,-123.0191611,48.53033495,,
C,Senior Center,Maple Valley Senior Center,,,,,,22010 SE 248th St,Maple Valley,WA,98038,-120.7404911,45.88398158,,
C,Senior Center,Mason Co Sr Activities Assoc,,,,,,826 W Railroad Ave,Shelton,WA,98584,-123.109311,47.213975,,
C,Senior Center,Mercer Island Senior Program,,,,,,8236 SE 24th,Mercer Island,WA,98040,-122.227502,47.589914,,
C,Senior Center,Methow Valley Senior Center,,,,,,215 S Methow Valley,Twisp,WA,98856,-122.7518153,48.11635472,,
C,Senior Center,Mid-City Senior Center,,,,,,1222 W 2nd Ave,Spokane,WA,99201,-122.62378,48.50456356,,
C,Senior Center,Midland-Summit Senior Center,,,,,,10205 E 44th Ave,Tacoma,WA,98446,-118.6885798,47.333172,,
C,Senior Center,Mill Creek Seniors,,,,,, 15720 Main Street,Mill Creek,WA,98012,-122.6465722,47.73492505,,
C,Senior Center,Milton Senior Center,,,,,,1000 Laurel St,Milton,WA,98354,-122.6619471,45.63426979,,
C,Senior Center,Morton Senior Center,,,,,,103 Westlake Ave,Morton,WA,98356,-122.3435274,48.92009433,,
C,Senior Center,Moses Lake Senior Center,,,,,,608 E Third Ave,Moses Lake,WA,98837,-119.271647,47.133702,,
C,Senior Center,Mount Si Senior Center,,,,,,411 Main Ave S,North Bend,WA,98045,-121.788474,47.492737,,
C,Senior Center,Mount Vernon Senior Center,,,,,,1401 Cleveland Ave,Mount Vernon,WA,98273,-122.7842469,48.04039493,,
C,Senior Center,Mountlake Terrace Seniors,,,,,,5605 235th St SW,Mountlake Terrace,WA,98043,-122.308927,47.785863,,
C,Senior Center,Muckleshoot Indian Tribe,,,,,,17800 SE 392nd St,Auburn,WA,98092,-122.104886,47.250503,,
C,Senior Center,Muckleshoot Indian Tribe Seniors Program,,,,,,17800 SE 392nd Street,Auburn,WA,98092,-120.9929712,47.22072454,,
C,Senior Center,Mukilteo Seniors Center,,,,,,304 Lincoln Ave,Mukilteo,WA,98275,-122.8942815,47.04625598,,
C,Senior Center,Mullis Community Senior Center,,,,,,589 Nash Street,Friday Harbor,WA,98250,-123.020115,48.530906,,
C,Senior Center,North Bellevue Community Center,,,,,,4063 148th Ave NE,Bellevue,WA,98007,-122.145009,47.647484,,
C,Senior Center,North Kitsap Sr Citizens Ctr,,,,,, 18972 Front St NE,Poulsbo,WA,98370,-122.3312898,47.60479388,,
C,Senior Center,North Seatac Park,,,,,,13735 24th Ave S,Sea Tac,WA,98168,-117.0790808,46.39264242,,
C,Senior Center,North Star Senior Center,,,,,,8415 N Wall St,Spokane,WA,99208,-117.422528,47.734242,,
C,Senior Center,Northport Senior Center,,,,,,411 Summit Ave,Northport,WA,99157,-117.782323,48.916797,,
C,Senior Center,Northshore Senior Center,,,,,,10201 E Riverside Dr,Bothell,WA,98011,-119.9918451,46.21495533,,
C,Senior Center,Northshore Senior Center,,,,,,10201 E Riverside Drive,Bothell,WA,98011,-122.2712977,46.55361107,,
C,Senior Center,Northwest Senior Center,,,,,,5429 32nd Ave,Seattle,WA,98104,-122.398684,47.66841,,
C,Senior Center,Oak Harbor Senior Center,,,,,,51 SE Jerome St,Oak Harbor,WA,98277,-122.645862,48.298227,,
C,Senior Center,Odessa Senior Citizens,,,,,,104 W 1st Av,Odessa,WA,99159,-122.9356214,46.13398496,,
C,Senior Center,Okanogan Area Senior Center,,,,,,1300 Second Ave S,Okanogan,WA,98840,-119.596,48.35625,,
C,Senior Center,Olequa Senior Center,,,,,, 119 SW Kerron St,Winlock,WA,98596,-119.0993775,46.23952298,,
C,Senior Center,Olympia Community Senior Center,,,,,,6757 Pacific Ave SE,Olympia,WA,98509,-122.793253,47.040141,,
C,Senior Center,Olympic Area Agency on Aging,,,,,,11700 Rhody Drive,Port Hadlock,WA,98339,-119.2890953,47.11941093,,
C,Senior Center,Olympic Area Agency on Aging 2,,,,,,2700 Simpson Avenue,Aberdeen,WA,98520,-119.2004099,46.21966621,,
C,Senior Center,Omak Senior Center,,,,,,214 N Juniper St,Omak,WA,98841,-123.168669,46.81544912,,
C,Senior Center,Orcas Senior Center,,,,,,62 Henry Rd,Eastsound,WA,98245,-122.906776,48.702046,,
C,Senior Center,Oroville Senior Center,,,,,,1521 Golden,Oroville,WA,98844,-119.433,48.93951,,
C,Senior Center,Orting Senior Center,,,,,,120 N Washington Ave,Orting,WA,98360,-123.0740843,48.9846743,,
C,Senior Center,Othello Latin Senior Center,,,,,,755 N 7th Ave,Othello,WA,99344,-119.165021,46.833104,,
C,Senior Center,Othello Senior Center,,,,,,756 N 7th Ave,Othello,WA,99344,-119.164713,46.833349,,
C,Senior Center,Pacific/Algona Senior Center,,,,,,100 Third Ave SE,Pacific,WA,98047,-122.249,47.2643,,
C,Senior Center,Packwood Senior Center,,,,,,12931 Us Highway 12,Packwood,WA,98361,-122.4910164,45.73764703,,
C,Senior Center,Pasco Senior Center,,,,,, 1315 N 7th Ave,Pasco,WA,99301,-118.7383461,48.64967096,,
C,Senior Center,Peaceful Valley Community Ctr,,,,,,214 N Cedar,Spokane,WA,99201,-120.5486129,46.99566221,,
